term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high
BTC_Realized_Daily_Volatility_lag1,dY/dX,0.007427709786060391,0.13060989350399357,0.05686942686185774,0.9546492087137838,0.06695739086934642,-0.2485629775063789,0.2634183970784997
ETH_percent_change_24h_lag1,dY/dX,4.784263579378074e-4,0.023587165707362343,0.020283333905967114,0.983817350669523,0.02353759613416646,-0.0457515689258706,0.04670842164174622
depeg_yesterday,1 - 0,0.30268150877072064,0.05364960086929258,5.64182219189568,1.6825981690676004e-8,25.82473407958553,0.19753022328195843,0.4078327942594828
dummy_crypto,1 - 0,0.005749802717325925,0.02037285595125558,0.2822286051147171,0.7777682257726815,0.36258779744685715,-0.03418026120935751,0.04567986664400936
fear_greed_index_lag1,dY/dX,1.0358426734150438e-4,3.019111662123484e-4,0.34309518472280903,0.7315268535532834,0.4510172697894039,-4.881507449651844e-4,6.953192796481932e-4
log_volume_lag1,dY/dX,-0.004197465216821906,0.0020182707903664506,-2.079733421727709,0.0375499907826608,4.735043636171294,-0.008153203276989339,-2.4172715665447386e-4
sigma_dev_30d_c,dY/dX,3.3905195662369163,1.1105948231653884,3.052886161105403,0.0022665190264689657,8.785306012572445,1.2137937114161255,5.567245421057708
sigma_dev_30d_c_x_dummy,dY/dX,0.02447017991125754,1.4299250926879647,0.017112910345015792,0.9863465394550837,0.019833487921516117,-2.7781315023472515,2.8270718621697664
stable_mcap_logret_lag1,dY/dX,-1.4872738800315588,0.7675395454646641,-1.937716289433884,0.052657845471256216,4.247207695954798,-2.9916237458525434,0.017075985789425818
